codigo_organismo,nombre_organismo,anio_informado,trimestre_informado,item_ingresos,unidad_monetaria,monto
PP029,Partido Revolución Democrática (RD),2017,Ene - Mar,Asignaciones testamentarias,Pesos,0
PP029,Partido Revolución Democrática (RD),2017,Ene - Mar,Frutos y productos de los Bienes Patrimoniales,Pesos,0
PP029,Partido Revolución Democrática (RD),2017,Ene - Mar,Aportes del Estado (art. 33 bis Ley N°18603),Pesos,37654146
PP029,Partido Revolución Democrática (RD),2017,Ene - Mar,Otras Transferencias públicas,Pesos,0
PP029,Partido Revolución Democrática (RD),2017,Ene - Mar,Otras Transferencias privadas,Pesos,0
PP029,Partido Revolución Democrática (RD),2017,Abr - Jun,Cotizaciones,Pesos,2849134
PP029,Partido Revolución Democrática (RD),2017,Abr - Jun,Donaciones,Pesos,900000
PP029,Partido Revolución Democrática (RD),2017,Abr - Jun,Asignaciones testamentarias,Pesos,0
PP029,Partido Revolución Democrática (RD),2017,Abr - Jun,Frutos y productos de los Bienes Patrimoniales,Pesos,0
PP029,Partido Revolución Democrática (RD),2017,Abr - Jun,Aportes del Estado (art. 33 bis Ley N°18603),Pesos,0
PP029,Partido Revolución Democrática (RD),2017,Abr - Jun,Otras Transferencias públicas,Pesos,0
PP029,Partido Revolución Democrática (RD),2017,Abr - Jun,Otras Transferencias privadas,Pesos,0
PP030,Partido Ciudadanos (CIU),2016,Oct - Dic,Cotizaciones,Pesos,0
PP030,Partido Ciudadanos (CIU),2016,Oct - Dic,Donaciones,Pesos,5000000
PP030,Partido Ciudadanos (CIU),2016,Oct - Dic,Asignaciones testamentarias,Pesos,0
PP030,Partido Ciudadanos (CIU),2016,Oct - Dic,Frutos y productos de los Bienes Patrimoniales,Pesos,0
PP030,Partido Ciudadanos (CIU),2016,Oct - Dic,Aportes del Estado (art. 33 bis Ley N°18603),Pesos,0
PP030,Partido Ciudadanos (CIU),2016,Oct - Dic,Otras Transferencias públicas,Pesos,0
PP030,Partido Ciudadanos (CIU),2016,Oct - Dic,Otras Transferencias privadas,Pesos,300000
PP031,Partido Todos,2016,Oct - Dic,Cotizaciones,Pesos,5020069
PP031,Partido Todos,2016,Oct - Dic,Donaciones,Pesos,0
PP031,Partido Todos,2016,Oct - Dic,Asignaciones testamentarias,Pesos,0
PP031,Partido Todos,2016,Oct - Dic,Frutos y productos de los Bienes Patrimoniales,Pesos,0
PP031,Partido Todos,2016,Oct - Dic,Aportes del Estado (art. 33 bis Ley N°18603),Pesos,0
PP031,Partido Todos,2016,Oct - Dic,Otras Transferencias públicas,Pesos,0
PP031,Partido Todos,2016,Oct - Dic,Otras Transferencias privadas,Pesos,0
