codigo_organismo,nombre_organismo,anio_informado,trimestre_informado,item_de_gastos,unidad_monetaria,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre
PP019,Partido Por la Democracia (PPD),2016,Oct - Dic,Gastos de actividades de fomento a la participación femenina,Pesos,0,0,0,0,0,0,0,0,0,7193531,NA,NA
PP019,Partido Por la Democracia (PPD),2016,Oct - Dic,Gastos de actividades de fomento a la participación de los jóvenes,Pesos,0,0,0,0,0,0,0,0,0,4489760,NA,167531
PP019,Partido Por la Democracia (PPD),2016,Oct - Dic,"Créditos de corto plazo, inversiones y valores de operaciones de capital",Pesos,0,0,0,0,0,0,0,0,0,0,0,0
PP019,Partido Por la Democracia (PPD),2016,Oct - Dic,"Créditos de largo plazo, inversiones y valores de operaciones de capital",Pesos,0,0,0,0,0,0,0,0,0,0,0,0
PP019,Partido Por la Democracia (PPD),2016,Oct - Dic,Gastos de las actividades de preparación de candidatos a cargos de elección popular,Pesos,0,0,0,0,0,0,0,0,0,999999,0,424
PP019,Partido Por la Democracia (PPD),2016,Oct - Dic,Gastos de las actividades de formación de militantes,Pesos,0,0,0,0,0,0,0,0,0,0,0,0
PP019,Partido Por la Democracia (PPD),2017,Ene - Mar,Gastos de personal,Pesos,59920861,49114018,61378119,0,0,0,0,0,0,0,0,0
PP019,Partido Por la Democracia (PPD),2017,Ene - Mar,Gastos de adquisición de bienes y servicios o gastos corrientes,Pesos,34136775,36649990,38798537,0,0,0,0,0,0,0,0,0
PP019,Partido Por la Democracia (PPD),2017,Ene - Mar,Gastos financieros por préstamos de corto plazo,Pesos,0,0,0,0,0,0,0,0,0,0,0,0
PP019,Partido Por la Democracia (PPD),2017,Ene - Mar,Gastos financieros por préstamos de largo plazo,Pesos,0,0,0,0,0,0,0,0,0,0,0,0
PP019,Partido Por la Democracia (PPD),2017,Ene - Mar,Otros gastos de administración,Pesos,0,0,0,0,0,0,0,0,0,0,0,0
PP019,Partido Por la Democracia (PPD),2017,Ene - Mar,Gastos de actividades de investigación,Pesos,0,0,0,0,0,0,0,0,0,0,0,0
PP019,Partido Por la Democracia (PPD),2017,Ene - Mar,Gastos de actividades de educación cívica,Pesos,0,0,1071000,0,0,0,0,0,0,0,0,0
PP019,Partido Por la Democracia (PPD),2017,Ene - Mar,Gastos de actividades de fomento a la participación femenina,Pesos,1325088,500000,3064078,0,0,0,0,0,0,0,0,0
PP019,Partido Por la Democracia (PPD),2017,Ene - Mar,Gastos de actividades de fomento a la participación de los jóvenes,Pesos,0,0,0,0,0,0,0,0,0,0,0,0
PP019,Partido Por la Democracia (PPD),2017,Ene - Mar,"Créditos de corto plazo, inversiones y valores de operaciones de capital",Pesos,0,0,0,0,0,0,0,0,0,0,0,0
PP019,Partido Por la Democracia (PPD),2017,Ene - Mar,"Créditos de largo plazo, inversiones y valores de operaciones de capital",Pesos,0,0,0,0,0,0,0,0,0,0,0,0
PP019,Partido Por la Democracia (PPD),2017,Ene - Mar,Gastos de las actividades de preparación de candidatos a cargos de elección popular,Pesos,0,0,0,0,0,0,0,0,0,0,0,0
PP019,Partido Por la Democracia (PPD),2017,Ene - Mar,Gastos de las actividades de formación de militantes,Pesos,0,0,0,0,0,0,0,0,0,0,0,0
PP019,Partido Por la Democracia (PPD),2017,Abr - Jun,Gastos de personal,Pesos,0,0,0,NA,0,0,0,0,0,0,0,0
PP019,Partido Por la Democracia (PPD),2017,Abr - Jun,Gastos de adquisición de bienes y servicios o gastos corrientes,Pesos,0,0,0,NA,0,0,0,0,0,0,0,0
PP019,Partido Por la Democracia (PPD),2017,Abr - Jun,Gastos financieros por préstamos de corto plazo,Pesos,0,0,0,0,0,0,0,0,0,0,0,0
PP019,Partido Por la Democracia (PPD),2017,Abr - Jun,Gastos financieros por préstamos de largo plazo,Pesos,0,0,0,0,0,0,0,0,0,0,0,0
PP019,Partido Por la Democracia (PPD),2017,Abr - Jun,Otros gastos de administración,Pesos,0,0,0,0,0,0,0,0,0,0,0,0
PP019,Partido Por la Democracia (PPD),2017,Abr - Jun,Gastos de actividades de investigación,Pesos,0,0,0,0,0,0,0,0,0,0,0,0
